LocusTag	Gene	Length
BSU17890	tkt	2001
BSU20290	yorQ	153
BSU21700	ypoP	423
BSU39850	yxbF	1140
BSU15640	yloA	1716
BSU02950	niaP	1200
new_4047463_4047537	S1517	75
BSU01650	ybbC	1242
BSU00390	yabD	765
BSU17540	ynaF	351
new_4164565_4165231	S1559	667
new_2195060_2195563_c	S777	504
BSU05344	ydzS/2	111
BSU07180	yezB	297
BSU29780	ytxG	429
BSU05810	gmuB	309
BSU33870	yvbI	696
BSU16770	dapA	870
BSU08730	perR	435
BSU24360	spoIIIAH	654
new_3582691_3582779_c	S1330	89
new_1603712_1603778	S563	67
BSU02710	yczC	381
new_1369127_1369854_c	S464	728
new_1041710_1041809_c	S336	100
BSU40480	yycB	1206
new_1041733_1041928	S337	196
new_1268593_1268828	S435	236
new_3386852_3387780_c	S1270	929
BSU15940	smc	3558
new_839233_839338_c	S266	106
new_3509781_3509830_c	S1307	50
new_2161801_2162107_c	S768	307
BSU00240	csfB	192
BSU09780	yheC	1089
new_1571801_1571902_c	S551	102
BSU31670	yuxO	378
BSU31730	yuzC	366
BSU13850	pfeT	1911
new_1900515_1901611	S640	1097
BSU13360	ykoP	549
new_1570575_1571849	S550	1275
BSU15560	pyrE	648
new_3495702_3495768_c	S1306	67
BSU12110	yjfA	471
new_667383_667465	S220	83
BSU20830	yopN	315
BSU12170	yjgD	558
new_926651_926919_c	S289	269
BSU04430	ydbD	819
BSU21340	yomJ	681
BSU00560	spoVT	534
BSU10480	yhjE	621
BSU13290	ykzD	135
new_1923125_1923233	S663	109
BSU26330	yqdA	138
new_2749037_2749259	S1013	223
BSU19020	yobN	1338
BSU10730	yisI	168
new_3208192_3208279_c	S1190	88
new_1192592_1192857	S398	266
BSU32790	yusG	234
BSU04020	yczH	555
BSU31740	pdeH	1227
BSU14071	fadG	1728
BSU28800	araA	1494
BSU12220	yjiC	1176
BSU03970	ycnL	351
new_3032765_3032908	S1130	144
new_1150464_1151119	S381	656
BSU19360	odhB	1251
BSU22070	xpt	582
new_3794010_3794074_c	S1430	65
BSU01170	rplD	621
BSU23380	lysA	1317
BSU28930	lytS	1779
BSU15069	ylzH	183
BSU00950	mrnC	429
BSU19030	yobO	2418
BSU30350	yttB	1191
BSU34910	hisD	1281
BSU05610	vmlR	1641
new_2079086_2079196	S728	111
new_2197860_2198069_c	S778	210
BSU38140	qoxD	372
BSU21750	sco	579
BSU37070	rpmE	198
BSU17900	sirA	444
BSU00600	yabP	300
BSU07430	yfmL	1128
BSU27710	tgt	1143
new_3733736_3733966_c	S1396	231
BSU08290	lnrJ	1200
BSU08930	cspR	480
BSU08280	yfiI	1179
BSU22400	dinG	2793
BSU26320	yqaG	567
BSU14280	moeA	1290
BSU14630	speA	1470
BSU20170	yosC	540
BSU06620	ligA	2004
BSU39050	katE	2058
BSU05390	ydfF	678
BSU25990	yqbS	423
new_1780399_1780532	S612	134
new_3255432_3256404	S1214	973
BSU36200	ywqI	258
BSU39070	bglS	726
BSU22660	trpC	750
BSU33610	rnr	2337
BSU35500	degS	1155
BSU32730	metQ	822
new_3762479_3762776_c	S1409	298
new_4215473_4215670	S1583	198
BSU35440	yvyF	417
BSU36990	ywkF	285
BSU09620	yhdW	729
BSU35450	comFC	687
BSU11870	metI	1119
BSU06269	ydzJ	156
BSU_misc_RNA_12	BSU_misc_RNA_12	
BSU06550	yecA	1389
BSU_misc_RNA_48	BSU_misc_RNA_48	
BSU38180	ywzA	147
BSU31630	mrpD	1479
new_1211372_1211476	S403	105
BSU04650	ndoAI	279
BSU08020	yfjO	1398
new_4125593_4125741_c	S1543	149
new_649718_649826	S207	109
BSU03789	yczN	111
new_3529856_3529913_c	S1313	58
BSU11460	oppD	1074
BSU22590	ypiA	1269
new_1915794_1916005_c	S656	212
BSU04110	lipC	639
new_3809980_3810619_c	S1440	640
new_3741593_3741676	S1400	84
BSU05240	ydeL	1389
BSU30280	amyD	909
new_252315_252458	S89	144
BSU_rRNA_8	rrnJ-5S	
new_3744236_3744320_c	S1401	85
BSU22230	ptsA	504
BSU12930	dppB	924
new_4039160_4039225_c	S1515	66
BSU39950	yxaJ	426
BSU09210	yhcT	906
BSU38390	ywbA	1332
new_2780331_2780484_c	S1029	154
BSU13270	ykoI	678
BSU15730	fmt	951
BSU26510	yrkH	885
BSU40390	yycH	1365
new_2225995_2226059	S800	65
new_3631609_3631729_c	S1350	121
BSU14720	ylaB	267
new_2529726_2529888_c	S918	163
BSU33760	sdpB	969
BSU32830	fadA	1173
new_1229759_1229848	S412	90
BSU39810	csbC	1383
new_3774188_3774399_c	S1418	212
BSU32040	yuiF	1326
BSU37240	ywiE	1500
BSU02070	csgA	246
new_3451771_3451862_c	S1287	92
BSU08320	lnrM	1188
BSU17280	ymaD	450
new_1168918_1169042	S393	125
BSU05600	ydgE	471
BSU13520	ykrP	1020
BSU11120	yitT	840
new_2552307_2552445	S924	139
BSU07410	yfmN	153
BSU33250	rsiO	408
BSU32630	yurR	1116
BSU27490	yrrB	618
new_1386984_1387035_c	S472	52
BSU10750	yisK	903
BSU09520	sigM	489
BSU15260	ylxX	705
BSU39600	yxeC	396
BSU11382	appA/2	1164
BSU00250	xpaC	612
new_1454806_1455063	S504	258
new_2625913_2626090_c	surC	178
new_1072963_1073105_c	S351	143
BSU21190	yomX	648
BSU_misc_RNA_20	BSU_misc_RNA_20	
BSU30180	ytbQ	603
new_3574321_3577707	S1326	3387
BSU20040	yosP	1795
BSU25569	yqzM	132
BSU39150	yxiJ	294
BSU10420	comK	576
new_3471824_3472588	S1299	765
new_2713803_2713911_c	S993	109
new_1538693_1539646	S537	954
BSU23616	mciZ	
BSU25160	ispH	942
BSU30390	bceS	1002
new_45224_45399_c	S23	176
BSU22390	ypmA	168
BSU39750	iolB	813
new_1071709_1071971_c	S348	263
new_1744297_1744366	S598	70
BSU23780	yqjQ	777
new_2897341_2897467_c	S1072	127
BSU14150	ykuN	474
BSU21990	ypdQ	396
BSU16520	frr	555
BSU14000	patA	1176
BSU27809	yrzT	138
BSU36710	fdhD	786
BSU26450	yrkN	555
BSU27020	yraA	507
new_1884880_1884967	S629	88
BSU_misc_RNA_2	scr	
BSU25090	yqfW	579
BSU24630	sipW	570
BSU_tRNA_34	trnD-Asp	
new_3463734_3464253_c	S1292	520
BSU17330	miaA	942
BSU08380	yfiS	1251
BSU37030	racA	552
new_2198766_2198847_c	S779	82
BSU32660	glxB	381
new_3194349_3194635	S1188	287
BSU19680	yozE	222
BSU31860	yueB	3228
BSU18860	yozH	318
BSU36740	ywmC	681
BSU07120	lplC	885
new_3316213_3316329_c	S1246	117
new_2563803_2563987_c	S928	185
BSU07900	yfkH	825
new_516099_516240	S162	142
new_1549384_1549464	S538	81
BSU38720	yxkO	828
BSU15200	murD	1353
new_2432160_2433082	S882	923
new_3016299_3016403_c	S1119	105
BSU16010	ylqD	384
BSU28640	pheS	1032
BSU15800	yloS	642
BSU02220	ybfI	825
BSU24190	yqiI	618
new_2798008_2799197	S1038	1190
BSU11810	spoVIF	300
BSU22980	ypbG	777
new_3463251_3463318_c	S1291	68
new_3622139_3622219_c	S1346	81
BSU37090	glpX	963
BSU30050	murJ	1632
BSU06990	rhiG	888
BSU01700	murQ	912
BSU11530	coiA	1119
BSU13840	stoA	495
new_235329_235401_c	S82	73
BSU08560	yfhJ	267
BSU25820	yqcI	762
BSU33920	tpi	759
BSU26020	yqbP	657
new_3860876_3860997_c	S1456	122
BSU04700	rsbU	1005
BSU32640	sspG	144
BSU10300	aprE	1143
BSU06600	pcrB	684
BSU31560	nupP	1044
BSU24940	yqzC	462
new_3466157_3466342_c	S1296	186
new_52649_52719	S29	71
BSU12671	xkdN	444
BSU19650	yodM	609
BSU21090	yonH	498
BSU21140	yonC	534
BSU_misc_RNA_39	BSU_misc_RNA_39	
BSU05580	ydgC	585
new_2840767_2840964_c	pipA	198
BSU34780	yvcI	474
BSU06170	fruC	960
BSU15060	tmcAL	1245
new_925460_925632	S288	173
BSU35020	nagB	726
BSU31330	yugN	402
BSU18380	iseA	543
BSU01290	rpsN	183
BSU11180	yitZ	492
BSU35239	swrAA/2	114
new_2596439_2596534	S945	96
new_238449_238569_c	S84	121
BSU01440	rplQ	360
BSU34230	epsN	1164
new_593206_593301_c	S188	96
new_2070120_2070243_c	S719	124
BSU16070	ylqG	1728
new_3707708_3707818	S1383	111
BSU31990	dhbC	1194
BSU35080	pchR	507
BSU17267	ymzE/2	174
BSU24950	pstBB	780
new_3809370_3809496_c	S1439	127
